gene_id,log2FoldChange
Pocillopora_acuta_HIv1_PredGene_g3941.t1,-0.22541465355338022
Pocillopora_acuta_HIv1_PredGene_g386.t1,0.08049674232102354
Pocillopora_acuta_HIv1_PredGene_g31334.t1,0.06910294934850988
Pocillopora_acuta_HIv1_PredGene_g16216.t1,-0.0484499957969575
Pocillopora_acuta_HIv1_PredGene_g3943.t1,-0.20630858300621396
Pocillopora_acuta_HIv1_PredGene_g7227.t1,-0.49407350065052
Pocillopora_acuta_HIv1_PredGene_g4319.t1,0.16633775942043774
Pocillopora_acuta_HIv1_PredGene_g28905.t1,-0.36866406876489516
Pocillopora_acuta_HIv1_PredGene_g13905.t1,-0.20030317394833166
Pocillopora_acuta_HIv1_PredGene_g14322.t1,0.06250667400366244
Pocillopora_acuta_HIv1_PredGene_g30422.t1,0.16446838795299404
Pocillopora_acuta_HIv1_PredGene_g6294.t1,-0.37622845338832156
Pocillopora_acuta_HIv1_PredGene_g25381.t1,0.2918898472933128
Pocillopora_acuta_HIv1_PredGene_g3434.t1,0.08504338279724054
Pocillopora_acuta_HIv1_PredGene_g29061.t1,-0.2965525269325241
Pocillopora_acuta_HIv1_PredGene_g31512.t1,1.1032970665716562
Pocillopora_acuta_HIv1_PredGene_g3939.t1,-0.2732530020444237
Pocillopora_acuta_HIv1_PredGene_g3824.t1,-1.8503312597726722
Pocillopora_acuta_HIv1_PredGene_g5588.t1,0.06737853158940052
Pocillopora_acuta_HIv1_PredGene_g98.t1,0.24926517123134778
Pocillopora_acuta_HIv1_PredGene_g5616.t1,0.14968407195411867
Pocillopora_acuta_HIv1_PredGene_g30420.t1,-0.518342474358228
Pocillopora_acuta_HIv1_PredGene_g18736.t2,-0.373939779928831
Pocillopora_acuta_HIv1_PredGene_g26905.t1,-0.49239163522946877
Pocillopora_acuta_HIv1_PredGene_g187.t1,-0.6578810603084656
Pocillopora_acuta_HIv1_PredGene_g18174.t1,-0.05384480396077861
Pocillopora_acuta_HIv1_PredGene_g22418.t1,-1.716722313374842
Pocillopora_acuta_HIv1_PredGene_g5614.t1,-0.6028584888698983
Pocillopora_acuta_HIv1_PredGene_g28269.t1,0.0640852116345162
Pocillopora_acuta_HIv1_PredGene_g3121.t1,-0.24208773275348885
Pocillopora_acuta_HIv1_PredGene_g8947.t1,0.045567370336814295
Pocillopora_acuta_HIv1_PredGene_g9806.t1,-2.96550458189488
Pocillopora_acuta_HIv1_PredGene_g22119.t1,-0.8333557795322692
Pocillopora_acuta_HIv1_PredGene_g11950.t1,0.9785964330919978
Pocillopora_acuta_HIv1_PredGene_g31792.t1,-0.3485217569155701
Pocillopora_acuta_HIv1_PredGene_g443.t1,-0.15088694916242654
Pocillopora_acuta_HIv1_PredGene_g26372.t1,0.35368781228193125
Pocillopora_acuta_HIv1_PredGene_g5371.t1,0.4879917666143338
Pocillopora_acuta_HIv1_PredGene_g14865.t1,-0.12264586160999447
Pocillopora_acuta_HIv1_PredGene_g24782.t1,-0.43333543617364423
Pocillopora_acuta_HIv1_PredGene_g33443.t1,-2.8629066692553717
Pocillopora_acuta_HIv1_PredGene_g29406.t2,0.1517051749699836
Pocillopora_acuta_HIv1_PredGene_g7326.t1,-0.07305390838804544
Pocillopora_acuta_HIv1_PredGene_g11632.t1,-0.04752315630756453
Pocillopora_acuta_HIv1_PredGene_g9693.t1,-0.26267420479421627
Pocillopora_acuta_HIv1_PredGene_g8220.t1,-3.917221160922058e-4
Pocillopora_acuta_HIv1_PredGene_g2479.t1,-1.7163589010131266
Pocillopora_acuta_HIv1_PredGene_g19789.t1,0.8776080166572102
Pocillopora_acuta_HIv1_PredGene_g1006.t1,-0.17176242667995356
Pocillopora_acuta_HIv1_PredGene_g23915.t1,0.0850498508410203
Pocillopora_acuta_HIv1_PredGene_g21537.t1,0.18412057337311133
Pocillopora_acuta_HIv1_PredGene_g15932.t1,0.8931739965373958
Pocillopora_acuta_HIv1_PredGene_g23639.t1,-0.438769993436144
Pocillopora_acuta_HIv1_PredGene_g23407.t1,-0.30481259850408143
Pocillopora_acuta_HIv1_PredGene_g19194.t1,-0.06444410629066583
Pocillopora_acuta_HIv1_PredGene_g7920.t1,-0.10171344908972808
Pocillopora_acuta_HIv1_PredGene_g25800.t1,-0.8178364655436836
Pocillopora_acuta_HIv1_PredGene_g6380.t1,0.14908730537518008
Pocillopora_acuta_HIv1_PredGene_g27113.t1,-0.3059553437555838
Pocillopora_acuta_HIv1_PredGene_g924.t1,0.06254009710412589
Pocillopora_acuta_HIv1_PredGene_g32126.t1,-0.5161493946932149
Pocillopora_acuta_HIv1_PredGene_g27683.t1,-0.30652523527821957
Pocillopora_acuta_HIv1_PredGene_g10274.t1,0.23001138558799256
Pocillopora_acuta_HIv1_PredGene_2608_t,-3.5422065452535767
Pocillopora_acuta_HIv1_PredGene_g3597.t1,-0.7360331217239726
Pocillopora_acuta_HIv1_PredGene_g20761.t2,-0.44101785574010754
Pocillopora_acuta_HIv1_PredGene_g32101.t1,0.3573713524066297
Pocillopora_acuta_HIv1_PredGene_g25010.t1,-0.2781826749400331
Pocillopora_acuta_HIv1_PredGene_g6382.t1,0.002313931471662224
Pocillopora_acuta_HIv1_PredGene_g27111.t1,0.6716042414972602
Pocillopora_acuta_HIv1_PredGene_g30935.t1,-0.6129674540468588
Pocillopora_acuta_HIv1_PredGene_g32851.t1,-0.1925051475355156
Pocillopora_acuta_HIv1_PredGene_g30937.t1,-0.35461950917211627
Pocillopora_acuta_HIv1_PredGene_g3595.t1,-0.051895892535752074
Pocillopora_acuta_HIv1_PredGene_g2710.t1,-1.7824229198951722
Pocillopora_acuta_HIv1_PredGene_g25012.t2,1.2250641760082381
Pocillopora_acuta_HIv1_PredGene_g33249.t2,-1.3609340188746555
Pocillopora_acuta_HIv1_PredGene_g17860.t1,0.18131283489560404
Pocillopora_acuta_HIv1_PredGene_g6236.t1,0.1611430320349176
Pocillopora_acuta_HIv1_PredGene_g25357.t1,0.04862733067919617
Pocillopora_acuta_HIv1_PredGene_g9811.t1,0.6265171210772524
Pocillopora_acuta_HIv1_PredGene_g14013.t1,0.2608910641122264
Pocillopora_acuta_HIv1_PredGene_g13726.t1,-0.2843347290088476
Pocillopora_acuta_HIv1_PredGene_g22111.t1,-1.4500378211878102
Pocillopora_acuta_HIv1_PredGene_g19390.t1,0.40832417743781774
Pocillopora_acuta_HIv1_PredGene_g25355.t1,0.00931402940389833
Pocillopora_acuta_HIv1_PredGene_g5819.t1,0.34267462052570924
Pocillopora_acuta_HIv1_PredGene_g24017.t1,-0.363696344360492
Pocillopora_acuta_HIv1_PredGene_g9813.t1,0.3146556413500097
Pocillopora_acuta_HIv1_PredGene_g25007.t1,0.6922714440788471
Pocillopora_acuta_HIv1_PredGene_g14825.t3,-0.32151174291073276
Pocillopora_acuta_HIv1_PredGene_g14825.t1,0.17160055707024904
Pocillopora_acuta_HIv1_PredGene_g13724.t1,1.1711684139261365
Pocillopora_acuta_HIv1_PredGene_g15683.t2,1.0772710134804202
Pocillopora_acuta_HIv1_PredGene_g14688.t1,0.05453892890268216
Pocillopora_acuta_HIv1_PredGene_g14009.t1,-0.005983702297799279
Pocillopora_acuta_HIv1_PredGene_27145_t,-0.08440385300486171
Pocillopora_acuta_HIv1_PredGene_g14827.t1,0.7873030782645732
Pocillopora_acuta_HIv1_PredGene_g2466.t2,0.15792545707479638
Pocillopora_acuta_HIv1_PredGene_g19519.t1,0.39876228585912254
Pocillopora_acuta_HIv1_PredGene_g12972.t1,0.26778737645378803
Pocillopora_acuta_HIv1_PredGene_g7556.t1,-0.7221591160978016
Pocillopora_acuta_HIv1_PredGene_g25815.t1,0.24650546640552226
Pocillopora_acuta_HIv1_PredGene_g22737.t1,-0.49784534597358165
Pocillopora_acuta_HIv1_PredGene_g18020.t1,0.14137572890881975
Pocillopora_acuta_HIv1_PredGene_g14806.t1,0.20836724669603682
Pocillopora_acuta_HIv1_PredGene_g7554.t1,-0.4494487063369786
Pocillopora_acuta_HIv1_PredGene_29645_t,-23.181992715651564
