SampleName,Tube.ID,Date,Temperature
Pact19,19,20211205,27
Pact20,20,20211205,27
Pact21,21,20211205,27
Pact29,29,20211205,31
Pact30,30,20211205,31
Pact31,31,20211205,31
Pact39,39,20211206,27
Pact40,40,20211206,27
Pact41,41,20211206,27
Pact49,49,20211206,31
Pact50,50,20211206,31
Pact51,51,20211206,31
Pact59,59,20211207,27
Pact60,60,20211207,27
Pact66,66,20211207,34
Pact67,67,20211207,34
Pact68,68,20211207,34
Pact69,69,20211207,34
